Sample_Name,sample_base,matrix,carrageenan,concentration_label,replicate,corr_n_points,corr_tau50_delay_units,corr_tau20_delay_units,corr_auc_logx,corr_initial_slope_logx,corr_y_start,corr_y_end,dist_n_points,dist_auc_logx,dist_width_halfmax_logx,dist_signal_raw_max,dist_signal_raw_min,Z_Average_d_nm,PdI,Mean_Count_Rate_kcps,Intercept,Quality_Factor
aMEM-Ctrl 1,aMEM-Ctrl,medium,,,1.0,192,9168.515536516436,63896.93266406856,4.028026398382868,-0.046865069246040746,0.893,0.0,40.0,2.724454301585665,3.077220545282097,0.918,0.00425,3255.0,1.0,38.3,0.924,0.0
aMEM-Ctrl 2,aMEM-Ctrl,medium,,,2.0,192,542.5184872926591,1618.230501011975,3.1414085765830664,-0.1005996822931445,0.358,0.0,40.0,2.5552571360157335,3.2120003801728005,0.58,0.00111,635.7,0.466,45.3,0.578,0.0
aMEM-Ctrl 3,aMEM-Ctrl,medium,,,3.0,192,876.5510752131041,4666.1580928395015,3.349639572508852,-0.08050687631556491,0.329,0.0,40.0,3.009736627582489,3.9696439276750066,0.544,0.000715,895.3,0.559,63.6,0.54,0.0
aMEM_10pct-Ctrl 1,aMEM_10pct-Ctrl,medium,,,1.0,192,21.667985579071754,61.94820765643282,1.6472077242348542,-0.17759506472840272,0.735,0.0,40.0,2.824236814236194,2.9233218991061793,0.857,0.000629,24.69,0.449,136.2,0.881,0.0
aMEM_10pct-Ctrl 2,aMEM_10pct-Ctrl,medium,,,2.0,192,21.24003627968175,60.725825960074935,1.6377248999006433,-0.17246635412180036,0.732,0.0,40.0,1.7095191817724837,2.80746188989389,0.856,0.000108,23.61,0.487,136.7,0.877,0.0
aMEM_10pct-Ctrl 3,aMEM_10pct-Ctrl,medium,,,3.0,192,21.287165727371672,61.180009821523676,1.642997364672091,-0.18059180679674056,0.731,0.0,31.0,1.1580744453221024,1.0517954455579923,0.818,0.0155,23.77,0.487,135.7,0.877,0.0
milli_q-water 1,milli_q-water,water,,,1.0,192,1.851765221823839,4144433.5944649577,6.347740696396091,-0.1203197408905111,0.0792,0.0,,,,,,0.0,0.0,24.4,0.0,0.0
